teamID,yearID,total_payroll,winning_pct,franchID,W,G
SFN,2007,90219056,43.82716049,SFG,71,162
SLN,2007,90286823,48.14814815,STL,78,162
WAS,2007,36947500,45.0617284,WSN,73,162
BAL,2008,67196246,42.23602484,BAL,68,161
BOS,2008,133390035,58.64197531,BOS,95,162
CHA,2008,121189332,54.60122699,CHW,89,163
CLE,2008,78970066,50,CLE,81,162
DET,2008,137685196,45.67901235,DET,74,162
KCA,2008,58245500,46.2962963,KCR,75,162
LAA,2008,119216333,61.72839506,ANA,100,162
MIN,2008,56932766,53.98773006,MIN,88,163
NYA,2008,207896789,54.9382716,NYY,89,162
OAK,2008,47967126,46.58385093,OAK,75,161
SEA,2008,117666482,37.65432099,SEA,61,162
TBA,2008,43820597,59.87654321,TBD,97,162
TEX,2008,67712326,48.7654321,TEX,79,162
TOR,2008,97793900,53.08641975,TOR,86,162
ARI,2008,66202712,50.61728395,ARI,82,162
ATL,2008,102365683,44.44444444,ATL,72,162
CHN,2008,118345833,60.2484472,CHC,97,161
CIN,2008,74117695,45.67901235,CIN,74,162
COL,2008,68655500,45.67901235,COL,74,162
FLO,2008,21811500,52.17391304,FLA,84,161
HOU,2008,88930414,53.41614907,HOU,86,161
LAN,2008,118588536,51.85185185,LAD,84,162
MIL,2008,80937499,55.55555556,MIL,90,162
NYN,2008,137793376,54.9382716,NYM,89,162
PHI,2008,97879880,56.79012346,PHI,92,162
PIT,2008,48689783,41.35802469,PIT,67,162
SDN,2008,73677616,38.88888889,SDP,63,162
SFN,2008,76594500,44.44444444,SFG,72,162
SLN,2008,99624449,53.08641975,STL,86,162
WAS,2008,54961000,36.64596273,WSN,59,161
BAL,2009,67101666,39.50617284,BAL,64,162
BOS,2009,121345999,58.64197531,BOS,95,162
CHA,2009,96068500,48.7654321,CHW,79,162
CLE,2009,81579166,40.12345679,CLE,65,162
DET,2009,115085145,52.7607362,DET,86,163
KCA,2009,70519333,40.12345679,KCR,65,162
LAA,2009,113709000,59.87654321,ANA,97,162
MIN,2009,65299266,53.37423313,MIN,87,163
NYA,2009,201449189,63.58024691,NYY,103,162
